Fecha;Observado;Estimado;Lower_95;Lower_80;Upper_80;Upper_95
03-03-2020;2;-2,830819836;;;;
04-03-2020;3;7,307183418;;;;
05-03-2020;4;6,189182554;;;;
06-03-2020;5;5,920545979;;;;
07-03-2020;7;6,376347084;;;;
08-03-2020;10;8,676739117;;;;
09-03-2020;13;12,38732118;;;;
10-03-2020;17;15,74571764;;;;
11-03-2020;23;20,41987057;;;;
12-03-2020;33;27,80646971;;;;
13-03-2020;43;40,59912229;;;;
14-03-2020;61;52,00378569;;;;
15-03-2020;75;74,78244109;;;;
16-03-2020;156;89,15195377;;;;
17-03-2020;201;205,1599536;;;;
18-03-2020;238;249,8810609;;;;
19-03-2020;342;280,5419136;;;;
20-03-2020;434;416,3839728;;;;
21-03-2020;537;519,3539046;;;;
22-03-2020;632;632,0939504;;;;
23-03-2020;746;727,5461142;;;;
24-03-2020;922;851,2059497;;;;
25-03-2020;1142;1064,798214;;;;
26-03-2020;1306;1327,232662;;;;
27-03-2020;1610;1482,308621;;;;
28-03-2020;1909;1852,564917;;;;
29-03-2020;2139;2184,742416;;;;
30-03-2020;2449;2392,394982;;;;
31-03-2020;2738;2730,733901;;;;
01-04-2020;3031;3025,146698;;;;
02-04-2020;3404;3321,417946;;;;
03-04-2020;3737;3737,824436;;;;
04-04-2020;4161;4072,73906;;;;
05-04-2020;4471;4542,929304;;;;
06-04-2020;4815;4817,774573;;;;
07-04-2020;5116;5158,278161;;;;
08-04-2020;5546;5437,062371;;;;
09-04-2020;5972;5922,901213;;;;
10-04-2020;6501;6377,70458;;;;
11-04-2020;6927;6972,65738;;;;
12-04-2020;7213;7378,254091;;;;
13-04-2020;7525;7576,429394;;;;
14-04-2020;7917;7856,805665;;;;
15-04-2020;8273;8278,862383;;;;
16-04-2020;8807;8633,50305;;;;
17-04-2020;9252;9258,179964;;;;
18-04-2020;9730;9704,873471;;;;
19-04-2020;10088;10195,85421;;;;
20-04-2020;10507;10498,09534;;;;
21-04-2020;10832;10918,69352;;;;
22-04-2020;11296;11198,55355;;;;
23-04-2020;11812;11711,11366;;;;
24-04-2020;12306;12282,70665;;;;
25-04-2020;12858;12791,76947;;;;
26-04-2020;13331;13379,10976;;;;
27-04-2020;13813;13828,80108;;;;
28-04-2020;14365;14301,16071;;;;
29-04-2020;15135;14886,1382;;;;
30-04-2020;16023;15788,2567;;;;
01-05-2020;17008;16806,23953;;;;
02-05-2020;18435;17903,55133;;;;
03-05-2020;19663;19614,55167;;;;
04-05-2020;20643;20883,01874;;;;
05-05-2020;22016;21738,72078;;;;
06-05-2020;23048;23250,08558;;;;
07-05-2020;24581;24184,15101;;;;
08-05-2020;25972;25919,20061;;;;
09-05-2020;27219;27349,12169;;;;
10-05-2020;28866;28529,48974;;;;
11-05-2020;30063;30348,99044;;;;
12-05-2020;31721;31405,80592;;;;
13-05-2020;34381;33220,7169;;;;
14-05-2020;37040;36497,1995;;;;
15-05-2020;39542;39473,377;;;;
16-05-2020;41428;42026,7301;;;;
17-05-2020;43781;43601,18309;;;;
18-05-2020;46059;46031,32474;;;;
19-05-2020;49579;48328,9245;;;;
20-05-2020;53617;52504,25373;;;;
21-05-2020;57581;57160,40754;;;;
22-05-2020;61857;61376,24597;;;;
23-05-2020;65393;65915,91986;;;;
24-05-2020;69102;69191,77666;;;;
25-05-2020;73997;72838,91229;;;;
26-05-2020;77961;78337,73945;;;;
27-05-2020;82289;82137,38095;;;;
28-05-2020;86943;86534,06527;;;;
29-05-2020;90638;91406,49237;;;;
30-05-2020;94858;94710,72623;;;;
31-05-2020;99688;98986,00496;;;;
01-06-2020;105159;104187,7558;;;;
02-06-2020;108686;110187,2468;;;;
03-06-2020;113628;112955,7847;;;;
04-06-2020;118292;118207,1054;;;;
05-06-2020;NA;122934,6553;122182,1892;122442,6441;123426,6664;123687,1213
06-06-2020;NA;127579,7225;126208,3822;126683,0513;128476,3937;128951,0628
07-06-2020;NA;132224,7898;130146,3548;130865,7742;133583,8053;134303,2247
